Feature,Importance
Revenue_MA_4Q,0.8851017530429145
Revenue_vs_MA,0.05710150005005817
Revenue_QoQ_Change_capped,0.010395307101962339
Revenue_Lag_1Q,0.01027760623495262
Revenue_QoQ_Change,0.008349744342498211
Revenue_Std_4Q,0.005899807927131885
Revenue_YoY_Change_capped,0.004943656410802574
Revenue_Lag_4Q,0.004222058027609746
Revenue_YoY_Change,0.0041514458663025645
Attribute to parent company (Trillion VND),0.0023992221660471395
Years_Since_Start,0.002018442158633179
TOTAL ASSETS (Trillion VND),0.0017704570382036284
Profit_Margin,0.001531122313877553
ROA_capped,0.0008872718226223862
ROA,0.0005318391396547799
Q1,0.0002122712651602653
Q4,0.0001225838347569507
Q2,6.491359512504798e-05
Q3,1.8997661686358315e-05
